#,id,address,microdistrict_id,house,building_body,phone,email,photo,photo_url,linestring,marker,multipolygon,description,created_at,updated_at,is_deleted,is_disabled,category_id,district_id,street_id,sub_category_id,work_hours,name_kz,name_ru,form_of_ownership_category_id,form_of_ownership_sub_category_id,latitude,longitude
2374,650619,"ул.Жамбыла, 163 А",,,,,,,,,0101000020E61000009F573CF5483A53403CDC0E0D8B9F4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.246431,76.910703
2375,650645,"ул.Курмангазы, 157",,,,,,,,,0101000020E61000005AB741EDB73953407DEA58A5F49E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.241841,76.901851
2376,650769,"ул.Бегалина, 120 А",,,,,,,,,0101000020E61000001B9E5E29CB3D5340D4B5F63E559F4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Спортивная площадка,Спортивная площадка,,,43.244789,76.965525
2377,650790,"пр.Жибек жолы, 60",,,,,,,,,0101000020E6100000124BCADDE73C5340A471A8DF85A14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Спортивная площадка,Спортивная площадка,,,43.261898,76.951652
2378,649806,"ул.Байтурсынулы, 78 Б",,,,,,,,,0101000020E6100000B517D1764C3B5340E9D495CFF29E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,Футбольное поле,Футбольное поле,,,43.241785,76.926542
2379,650810,"пр.Достык, 87 Б",,,,,,,,,0101000020E6100000E109BDFE243D53400F5EBBB4E19E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Спортивная площадка,Спортивная площадка,,,43.241263,76.955383
2380,651407,"мкр.Керемет, 7",103,,,,,,,,0101000020E610000037001B10213C53406BF0BE2A179E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,4,,32,,Теннисный корт,Теннисный корт,,,43.235082,76.939518
2381,651919,"мкр.Алмагуль, 1",47,,,,,,,,0101000020E6100000274C18CDCA395340DE3D40F7E59A4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,4,,32,,Площадка для воркаута,Площадка для воркаута,,,43.210143,76.903003
2382,651966,"ул.Ауэзовой, 15",98,,,,,,,,0101000020E6100000DC63E943173A53404EEFE2FDB8A94540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,1,,32,,Площадка для воркаута,Площадка для воркаута,,,43.325958,76.90767
2383,649776,"ул.Карасу, 4 А",,,,,,,,,0101000020E6100000388600E0D8385340A52C431CEB9E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Футбольное поле,Футбольное поле,,,43.24155,76.888237
2384,649854,"ул.Панфилова, 85",,,,,,,,,0101000020E610000013437232713C5340F01472A59EA14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Футбольное поле,Футбольное поле,,,43.262654,76.944409
2385,651381,"мкр.Галамат, 1337",67,,,,,,,,0101000020E61000002AADBF25003853409DBAF2599E934540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,7,,32,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи: вт-вс),Chamberlain Country Club,Chamberlain Country Club,,,43.15327,76.875009
2386,650686,"ул.Толе би, 286/8",,,,,,,,,0101000020E61000002D7B12D89C375340D2C77C40A09F4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.247078,76.868948
2387,649723,"ул.Сейдоллы Байтерекова, 99",25,,,,,,,,0101000020E61000006E50FBAD9D345340F3599E0777A14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,1,,32,,Баскетбольная площадка,Баскетбольная площадка,,,43.261445,76.822124
2388,651343,"ул.Утегенова, 48 В",131,,,,,,,,0101000020E61000006380441328395340B7D26BB3B1964540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,4,,32,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,Riza & Бассейн,Riza & Бассейн,,,43.177298,76.893071
