#,id,address,microdistrict_id,house,building_body,phone,email,photo,photo_url,linestring,marker,multipolygon,description,created_at,updated_at,is_deleted,is_disabled,category_id,district_id,street_id,sub_category_id,work_hours,name_kz,name_ru,form_of_ownership_category_id,form_of_ownership_sub_category_id,latitude,longitude
108,641552,"ул.Даулеткерея, 115",26,,,,,,,,0101000020E61000007D6ADCFCC0335340CDBC3396AF974540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,7,,21,,Сквер Акжар,Сквер Акжар,,,43.18504598165746,76.8086540367603
109,641629,"мкр.Аксай-1, 4 Б",30,,,,,,,,0101000020E61000001453CE0CA035534056FCB3E5039F4540,,Требуется капитальный ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,3,,21,,сквер по ул. Саина (запад),сквер по ул. Саина (запад),,,43.24230643547405,76.83789367817764
110,641533,"ул.Кудиярбек Шотаманулы, 12",176,,,,,,,,0101000020E6100000FE56B938B53853409AEE418C61A54540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,1,,21,,сквер ,сквер ,,,43.29203942508066,76.88606088733283
111,641584,"ул.Жамбыла, 207",,,,,,,,,0101000020E61000001D5023F15F39534030002ADA329F4540,,Требуется капитальный ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,2,,21,,Парк им. М. Ганди ,Парк им. М. Ганди ,,,43.24373938608949,76.89648083160905
112,641688,"мкр.Орбита-2, 29",138,,,,,,,,0101000020E610000063E5D534763853409E2A05C771994540,,Требуется текущий ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,4,,21,,Пешеходная зона по ул.Биржана,Пешеходная зона по ул.Биржана,,,43.19878471138257,76.88221474540983
113,641532,"ул.Аркалык, 5/2",105,,,,,,,,0101000020E6100000888B90E5A935534009299060F8A74540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,1,,21,,сквер,сквер,,,43.312267370596665,76.83849467387893
114,641592,"ул.Айвазовского, 119",,,,,,,,,0101000020E6100000A8838D82B8395340C381D26EDC9E4540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,2,,21,,Зеленные зоны станции метрополитена ,Зеленные зоны станции метрополитена ,,,43.241102078234256,76.90188659496073
115,641666,"ул.Курмангазы, 1/96",,,,,,,,,0101000020E6100000F8EB6D195F3D53403DD569DD719F4540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,6,,21,,сквер. Курмангазы уг. ул. Зенкова ,сквер. Курмангазы уг. ул. Зенкова ,,,43.24566238086343,76.95892940268084
116,641706,"ул.Гастелло, 76",,,,,,,,,0101000020E6100000859123A36D3D5340A72E471875A54540,,Требуется текущий ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,5,,21,,Сквер ОБ,Сквер ОБ,,,43.292635950810386,76.95981672738533
117,641557,"ул.Зорге, 2 Б",,,,,,,,,0101000020E610000066B4AF35BA3C5340255F535C88AB4540,,Не требуется ремонт,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,4,8,,21,,сквер «Привокзальный»,сквер «Привокзальный»,,,43.34009889670259,76.94886533888493
